edge_type_id target_query source_query dynamics_params target_sections distance_range model_template syn_weight delay
100 pop_name=='Exc' pop_name=='Exc' PING_ExcToExc.json ['soma'] "[0.0, 999.9]" exp2syn 0.0 0
101 pop_name=='Inh' pop_name=='Exc' PING_ExcToInh.json ['soma'] "[0.0, 999.9]" exp2syn 0.00625 0
102 pop_name=='Exc' pop_name=='Inh' PING_InhToExc.json ['soma'] "[0.0, 999.9]" exp2syn 0.025 0
103 pop_name=='Inh' pop_name=='Inh' PING_InhToInh.json ['soma'] "[0.0, 999.9]" exp2syn 0.008 0
